Date,Temperature,Precipitation
2021-03-23,26.0,0.0
2021-03-24,27.6,0.0
2021-03-25,28.8,0.0
2021-03-26,29.0,0.0
2021-03-27,28.8,0.0
2021-03-28,29.7,0.0
2021-03-29,30.7,0.0
2021-03-30,31.6,0.0
2021-03-31,32.1,0.0
2021-04-01,32.2,0.0
2021-04-02,30.2,0.0
2021-04-03,31.3,0.0
2021-04-04,31.8,0.0
2021-04-05,30.9,0.0
2021-04-06,31.1,0.0
2021-04-07,32.7,0.0
2021-04-08,33.2,0.0
2021-04-09,32.1,0.0
2021-04-10,30.6,0.0
2021-04-11,29.6,0.0
2021-04-12,30.9,0.0
2021-04-13,31.3,0.0
2021-04-14,30.8,0.0
2021-04-15,29.0,0.9
2021-04-16,30.3,0.0
2021-04-17,31.9,0.0
2021-04-18,31.9,0.0
2021-04-19,32.8,0.0
2021-04-20,32.9,0.0
2021-04-21,32.0,0.0
2021-04-22,31.7,0.0
2021-04-23,31.6,0.0
2021-04-24,32.8,0.0
2021-04-25,33.0,0.0
2021-04-26,32.9,0.0
2021-04-27,32.7,0.0
2021-04-28,33.4,0.0
2021-04-29,34.0,0.0
2021-04-30,34.0,0.0
2021-05-01,34.0,0.0
2021-05-02,31.9,0.0
2021-05-03,30.7,0.0
2021-05-04,31.6,0.0
2021-05-05,33.5,0.0
2021-05-06,33.2,0.0
2021-05-07,32.3,1.3
2021-05-08,32.5,0.0
2021-05-09,31.1,3.1
2021-05-10,31.5,0.2
2021-05-11,32.5,0.1
2021-05-12,33.6,0.0
2021-05-13,32.9,0.0
2021-05-14,32.7,0.0
2021-05-15,32.2,0.0
2021-05-16,32.6,0.0
2021-05-17,32.5,0.0
2021-05-18,32.5,2.3
2021-05-19,31.9,4.4
2021-05-20,30.9,0.1
2021-05-21,31.5,0.0
2021-05-22,32.4,0.0
2021-05-23,32.9,0.0
2021-05-24,33.3,0.0
2021-05-25,33.5,0.0
2021-05-26,34.1,0.0
2021-05-27,34.3,0.0
2021-05-28,34.5,0.0
2021-05-29,34.6,0.4
2021-05-30,33.9,0.2
2021-05-31,34.0,0.0
2021-06-01,33.1,0.0
2021-06-02,31.4,0.0
2021-06-03,30.3,2.1
2021-06-04,28.7,8.4
2021-06-05,30.5,0.4
2021-06-06,30.1,6.2
2021-06-07,30.9,0.9
2021-06-08,30.1,4.5
2021-06-09,28.8,8.9
2021-06-10,27.4,14.1
2021-06-11,26.9,24.3
2021-06-12,27.6,10.6
2021-06-13,28.6,6.8
2021-06-14,28.4,3.8
2021-06-15,27.8,4.1
2021-06-16,28.2,0.2
2021-06-17,27.6,1.9
2021-06-18,26.8,4.5
2021-06-19,27.5,0.6
2021-06-20,27.9,0.3
2021-06-21,28.5,0.3
2021-06-22,28.7,14.2
2021-06-23,26.3,6.6
2021-06-24,27.0,3.9
2021-06-25,26.7,5.3
2021-06-26,28.4,1.3
2021-06-27,28.0,17.0
2021-06-28,27.6,10.4
2021-06-29,28.6,1.4
2021-06-30,29.1,12.3
2021-07-01,29.0,4.0
2021-07-02,27.4,0.7
2021-07-03,28.8,0.2
2021-07-04,29.6,0.0
2021-07-05,29.9,0.0
2021-07-06,29.5,0.0
2021-07-07,29.9,3.9
2021-07-08,25.8,50.4
2021-07-09,26.6,9.4
2021-07-10,27.2,18.1
2021-07-11,27.8,18.7
2021-07-12,27.7,6.0
2021-07-13,27.6,14.0
2021-07-14,27.2,9.6
2021-07-15,27.4,1.3
2021-07-16,27.9,0.8
2021-07-17,28.6,1.4
2021-07-18,28.6,3.7
2021-07-19,28.1,0.6
2021-07-20,26.5,10.7
2021-07-21,24.6,80.8
2021-07-22,25.7,32.9
2021-07-23,25.3,61.1
2021-07-24,25.7,63.7
2021-07-25,26.9,1.0
2021-07-26,27.1,0.2
2021-07-27,26.6,4.2
2021-07-28,26.1,1.9
2021-07-29,25.7,6.9
2021-07-30,24.5,24.2
2021-07-31,26.4,0.9
2021-08-01,26.8,1.0
2021-08-02,26.0,2.1
2021-08-03,26.1,0.5
2021-08-04,26.7,0.8
2021-08-05,26.4,1.4
2021-08-06,26.3,3.4
2021-08-07,27.5,0.0
2021-08-08,27.4,1.7
2021-08-09,28.1,0.5
2021-08-10,27.9,2.8
2021-08-11,27.3,0.7
2021-08-12,28.0,0.6
2021-08-13,27.8,1.3
2021-08-14,27.9,0.2
2021-08-15,27.6,0.4
2021-08-16,27.9,7.9
2021-08-17,26.5,39.0
2021-08-18,25.6,39.1
2021-08-19,25.6,22.1
2021-08-20,25.5,12.0
2021-08-21,26.3,2.9
2021-08-22,26.4,4.8
2021-08-23,27.0,1.7
2021-08-24,27.5,1.1
2021-08-25,27.8,0.3
2021-08-26,27.3,0.7
2021-08-27,27.4,0.3
2021-08-28,27.1,1.1
2021-08-29,26.7,17.6
2021-08-30,26.4,25.4
2021-08-31,26.3,10.5
2021-09-01,26.0,15.9
2021-09-02,26.3,12.1
2021-09-03,26.6,7.0
2021-09-04,26.2,12.6
2021-09-05,27.0,1.4
2021-09-06,27.0,20.9
2021-09-07,26.3,42.1
2021-09-08,25.6,6.7
2021-09-09,26.1,12.3
2021-09-10,25.9,30.6
2021-09-11,25.6,12.9
2021-09-12,26.2,6.7
2021-09-13,26.2,6.8
2021-09-14,26.5,14.6
2021-09-15,25.6,16.3
2021-09-16,25.1,10.7
2021-09-17,25.6,4.2
2021-09-18,26.2,0.9
2021-09-19,26.6,0.9
2021-09-20,25.4,9.1
2021-09-21,25.3,9.6
2021-09-22,26.2,4.8
2021-09-23,26.3,12.0
2021-09-24,26.1,2.9
2021-09-25,25.8,14.0
2021-09-26,27.0,3.4
2021-09-27,27.1,10.7
2021-09-28,26.2,3.4
2021-09-29,26.5,0.2
2021-09-30,26.8,6.5
2021-10-01,27.1,2.7
2021-10-02,26.6,7.4
2021-10-03,26.7,8.8
2021-10-04,27.5,0.4
2021-10-05,27.5,4.1
2021-10-06,27.1,6.5
2021-10-07,27.6,0.2
2021-10-08,28.0,1.3
2021-10-09,27.6,0.1
2021-10-10,26.7,0.0
2021-10-11,26.1,0.0
2021-10-12,26.0,0.0
2021-10-13,26.9,0.0
2021-10-14,27.0,0.0
2021-10-15,26.8,0.1
2021-10-16,27.2,7.6
2021-10-17,25.5,13.6
2021-10-18,26.0,2.6
2021-10-19,26.3,0.0
2021-10-20,25.1,0.0
2021-10-21,24.0,0.0
2021-10-22,23.3,0.0
2021-10-23,23.5,0.0
2021-10-24,23.8,0.0
2021-10-25,24.1,0.0
2021-10-26,24.1,0.0
2021-10-27,24.4,0.0
2021-10-28,23.9,0.0
2021-10-29,22.9,0.0
2021-10-30,23.3,0.0
2021-10-31,22.5,0.0
2021-11-01,22.0,0.0
2021-11-02,23.4,0.0
2021-11-03,24.4,0.2
2021-11-04,24.3,0.1
2021-11-05,24.4,0.0
2021-11-06,23.8,0.0
2021-11-07,22.9,0.0
2021-11-08,22.3,0.0
2021-11-09,22.6,0.0
2021-11-10,22.5,0.0
2021-11-11,22.7,0.0
2021-11-12,25.0,0.2
