Date,Temperature,Precipitation
2021-03-23,30.1,0.0
2021-03-24,29.7,0.0
2021-03-25,29.9,0.0
2021-03-26,29.2,0.0
2021-03-27,29.5,0.0
2021-03-28,29.0,0.0
2021-03-29,29.9,0.1
2021-03-30,31.4,0.0
2021-03-31,32.1,0.0
2021-04-01,30.4,0.0
2021-04-02,30.1,0.0
2021-04-03,29.9,0.0
2021-04-04,28.8,1.3
2021-04-05,29.0,0.0
2021-04-06,29.0,0.0
2021-04-07,28.9,0.0
2021-04-08,29.5,2.1
2021-04-09,28.6,2.8
2021-04-10,29.3,1.1
2021-04-11,30.5,0.0
2021-04-12,29.9,1.5
2021-04-13,30.5,0.7
2021-04-14,31.0,0.0
2021-04-15,30.4,0.9
2021-04-16,29.7,0.0
2021-04-17,29.5,0.1
2021-04-18,29.3,0.8
2021-04-19,30.6,0.0
2021-04-20,30.4,1.7
2021-04-21,30.6,5.7
2021-04-22,29.0,11.6
2021-04-23,29.5,0.0
2021-04-24,30.6,0.0
2021-04-25,31.7,0.0
2021-04-26,31.5,0.0
2021-04-27,31.5,0.1
2021-04-28,31.1,0.4
2021-04-29,30.7,0.0
2021-04-30,30.4,1.0
2021-05-01,29.6,2.8
2021-05-02,29.7,1.7
2021-05-03,29.4,0.0
2021-05-04,26.6,4.2
2021-05-05,26.7,9.9
2021-05-06,28.6,0.6
2021-05-07,29.2,2.1
2021-05-08,29.0,0.0
2021-05-09,29.2,1.6
2021-05-10,28.4,12.3
2021-05-11,27.4,23.2
2021-05-12,28.1,0.0
2021-05-13,28.0,2.1
2021-05-14,29.0,4.6
2021-05-15,30.8,0.5
2021-05-16,31.1,0.1
2021-05-17,31.9,0.0
2021-05-18,32.1,0.1
2021-05-19,31.7,0.9
2021-05-20,31.8,0.0
2021-05-21,31.9,0.0
2021-05-22,31.4,0.9
2021-05-23,32.0,1.7
2021-05-24,29.7,8.3
2021-05-25,28.2,9.9
2021-05-26,27.1,11.9
2021-05-27,28.4,19.8
2021-05-28,29.9,1.3
2021-05-29,29.5,0.7
2021-05-30,29.8,1.8
2021-05-31,29.7,24.4
2021-06-01,30.9,3.1
2021-06-02,29.8,6.5
2021-06-03,30.0,7.0
2021-06-04,30.9,0.4
2021-06-05,31.4,2.9
2021-06-06,31.0,5.6
2021-06-07,31.3,5.3
2021-06-08,30.8,1.8
2021-06-09,29.3,13.3
2021-06-10,28.3,9.2
2021-06-11,28.1,8.5
2021-06-12,28.0,26.3
2021-06-13,27.8,16.0
2021-06-14,28.0,13.3
2021-06-15,27.5,25.5
2021-06-16,26.6,25.3
2021-06-17,26.3,14.5
2021-06-18,25.8,25.7
2021-06-19,26.8,24.5
2021-06-20,27.2,17.0
2021-06-21,27.3,14.2
2021-06-22,27.9,15.3
2021-06-23,27.3,7.5
2021-06-24,28.4,7.3
2021-06-25,28.8,5.6
2021-06-26,28.6,4.0
2021-06-27,28.9,6.2
2021-06-28,29.1,0.6
2021-06-29,29.7,4.9
2021-06-30,29.9,11.6
2021-07-01,29.8,10.5
2021-07-02,29.2,15.9
2021-07-03,29.2,7.6
2021-07-04,28.6,8.0
2021-07-05,28.4,8.7
2021-07-06,28.9,15.9
2021-07-07,29.0,27.3
2021-07-08,27.4,16.5
2021-07-09,28.3,10.9
2021-07-10,28.8,6.3
2021-07-11,29.0,5.0
2021-07-12,28.6,6.0
2021-07-13,28.4,4.4
2021-07-14,28.5,4.0
2021-07-15,29.3,0.9
2021-07-16,29.4,2.5
2021-07-17,29.5,1.5
2021-07-18,30.0,2.8
2021-07-19,29.7,6.5
2021-07-20,28.3,11.3
2021-07-21,28.6,9.6
2021-07-22,28.7,7.3
2021-07-23,27.7,16.4
