Date,Temperature,Precipitation
2021-03-23,26.2,0.0
2021-03-24,26.4,0.0
2021-03-25,26.9,0.0
2021-03-26,27.0,0.0
2021-03-27,27.0,0.0
2021-03-28,27.2,0.0
2021-03-29,27.4,0.0
2021-03-30,27.4,0.0
2021-03-31,28.9,0.0
2021-04-01,27.9,0.0
2021-04-02,27.4,0.0
2021-04-03,27.4,0.0
2021-04-04,27.6,0.0
2021-04-05,27.5,0.0
2021-04-06,27.4,0.0
2021-04-07,27.3,0.0
2021-04-08,27.3,0.0
2021-04-09,27.0,0.0
2021-04-10,26.5,0.0
2021-04-11,26.5,0.0
2021-04-12,26.5,0.0
2021-04-13,26.7,0.0
2021-04-14,24.7,4.6
2021-04-15,23.0,22.6
2021-04-16,24.5,0.9
2021-04-17,26.5,0.0
2021-04-18,26.5,0.2
2021-04-19,26.8,0.0
2021-04-20,25.2,7.9
2021-04-21,24.9,8.8
2021-04-22,25.9,1.1
2021-04-23,24.4,12.2
2021-04-24,24.0,17.6
2021-04-25,25.7,0.1
2021-04-26,26.3,0.0
2021-04-27,26.1,0.0
2021-04-28,26.9,0.0
2021-04-29,26.3,0.5
2021-04-30,26.5,0.0
2021-05-01,26.8,0.0
2021-05-02,26.7,0.0
2021-05-03,26.4,0.8
2021-05-04,25.2,3.3
2021-05-05,26.8,0.0
2021-05-06,27.1,0.0
2021-05-07,26.3,0.7
2021-05-08,26.8,0.9
2021-05-09,27.3,0.1
2021-05-10,26.3,4.9
2021-05-11,25.9,14.2
2021-05-12,25.1,10.0
2021-05-13,25.1,2.1
2021-05-14,25.7,2.3
2021-05-15,22.9,3.9
2021-05-16,22.6,8.2
2021-05-17,24.3,4.7
2021-05-18,24.8,0.1
2021-05-19,24.7,4.5
2021-05-20,23.8,22.0
2021-05-21,23.1,13.9
2021-05-22,23.2,2.4
2021-05-23,24.8,0.1
2021-05-24,24.9,0.0
2021-05-25,23.7,8.6
2021-05-26,24.0,0.1
2021-05-27,24.3,0.0
2021-05-28,24.3,0.0
2021-05-29,24.6,0.5
2021-05-30,25.0,0.2
2021-05-31,25.3,0.5
2021-06-01,25.5,4.8
2021-06-02,24.8,18.0
2021-06-03,23.7,20.1
2021-06-04,22.9,18.3
2021-06-05,23.0,7.3
2021-06-06,23.4,2.3
2021-06-07,24.3,0.0
2021-06-08,24.4,0.0
2021-06-09,23.4,1.7
2021-06-10,23.6,0.7
2021-06-11,23.6,0.0
2021-06-12,23.1,3.2
2021-06-13,22.6,2.0
2021-06-14,21.5,4.7
2021-06-15,22.5,2.9
2021-06-16,22.7,3.2
2021-06-17,23.3,0.8
2021-06-18,23.3,1.1
2021-06-19,22.7,0.0
2021-06-20,23.6,0.3
2021-06-21,23.6,0.2
2021-06-22,24.2,0.0
2021-06-23,24.7,0.3
2021-06-24,24.4,0.6
2021-06-25,24.6,0.0
2021-06-26,23.0,17.2
2021-06-27,22.1,2.6
2021-06-28,23.8,0.1
2021-06-29,25.1,0.6
2021-06-30,25.7,0.8
2021-07-01,24.6,10.9
2021-07-02,23.8,4.3
2021-07-03,23.8,7.8
2021-07-04,23.3,6.9
2021-07-05,23.5,1.6
2021-07-06,23.9,3.8
2021-07-07,23.4,10.0
2021-07-08,23.6,2.3
2021-07-09,22.6,10.9
2021-07-10,22.0,3.4
2021-07-11,22.2,3.0
2021-07-12,22.6,0.7
2021-07-13,22.1,4.5
2021-07-14,21.2,10.5
2021-07-15,20.5,17.3
2021-07-16,21.2,22.3
2021-07-17,22.0,14.4
2021-07-18,20.8,10.9
2021-07-19,22.6,1.7
2021-07-20,22.4,2.2
2021-07-21,22.0,3.4
2021-07-22,21.1,11.2
2021-07-23,21.8,8.1
2021-07-24,22.7,2.6
2021-07-25,23.1,1.9
2021-07-26,22.8,0.0
2021-07-27,22.8,0.5
2021-07-28,23.1,0.9
2021-07-29,22.7,1.2
2021-07-30,23.0,0.6
2021-07-31,23.1,1.0
2021-08-01,23.1,0.5
2021-08-02,22.8,1.0
2021-08-03,23.0,0.9
2021-08-04,23.1,2.1
2021-08-05,22.8,4.9
2021-08-06,23.3,2.3
2021-08-07,23.0,5.9
2021-08-08,23.5,4.0
2021-08-09,23.5,1.3
2021-08-10,23.0,3.8
2021-08-11,23.1,7.9
2021-08-12,22.5,8.8
2021-08-13,22.6,7.2
2021-08-14,22.4,1.4
2021-08-15,22.5,0.9
2021-08-16,22.5,1.5
2021-08-17,22.0,1.3
2021-08-18,22.6,3.3
2021-08-19,22.8,0.2
2021-08-20,23.0,0.4
2021-08-21,22.5,1.3
2021-08-22,22.3,20.7
2021-08-23,22.3,11.8
2021-08-24,23.0,2.8
2021-08-25,23.0,9.7
2021-08-26,23.1,8.0
2021-08-27,22.6,30.8
2021-08-28,21.7,7.4
2021-08-29,21.5,32.8
2021-08-30,22.3,0.7
2021-08-31,22.9,0.0
2021-09-01,23.1,1.4
2021-09-02,22.3,14.6
2021-09-03,21.5,12.7
2021-09-04,21.3,16.3
2021-09-05,21.5,13.7
2021-09-06,21.6,2.6
2021-09-07,22.0,2.1
2021-09-08,22.6,2.0
2021-09-09,22.9,1.0
2021-09-10,22.8,0.3
2021-09-11,22.3,1.0
2021-09-12,22.2,4.8
2021-09-13,23.0,1.7
2021-09-14,23.3,1.0
2021-09-15,22.9,1.6
2021-09-16,23.2,0.6
2021-09-17,23.6,0.1
2021-09-18,23.7,0.0
2021-09-19,24.2,4.1
2021-09-20,23.8,1.4
2021-09-21,23.7,1.0
2021-09-22,23.3,1.7
2021-09-23,23.5,1.9
2021-09-24,23.3,5.7
2021-09-25,22.9,7.5
2021-09-26,23.0,3.7
2021-09-27,22.2,5.9
2021-09-28,22.5,0.5
2021-09-29,22.7,0.4
2021-09-30,22.6,5.7
2021-10-01,23.0,12.3
2021-10-02,23.0,12.4
2021-10-03,23.4,2.0
2021-10-04,23.7,1.8
2021-10-05,22.9,5.3
2021-10-06,21.8,55.6
2021-10-07,23.1,5.5
2021-10-08,22.6,9.7
2021-10-09,21.9,9.9
2021-10-10,22.2,7.4
2021-10-11,22.1,17.7
2021-10-12,21.2,30.1
2021-10-13,21.6,10.9
2021-10-14,22.2,18.6
2021-10-15,22.2,13.9
2021-10-16,22.6,11.2
2021-10-17,22.7,5.5
2021-10-18,22.4,5.8
2021-10-19,22.8,0.7
2021-10-20,23.2,11.9
2021-10-21,22.6,7.0
2021-10-22,22.7,3.0
2021-10-23,22.0,9.5
2021-10-24,21.4,13.1
2021-10-25,22.1,0.9
2021-10-26,22.0,0.5
2021-10-27,22.1,0.0
2021-10-28,21.6,0.0
2021-10-29,21.5,7.1
2021-10-30,22.3,2.6
2021-10-31,21.8,4.6
2021-11-01,21.1,4.9
2021-11-02,21.8,0.5
2021-11-03,21.5,7.8
2021-11-04,21.9,2.8
2021-11-05,21.1,11.0
2021-11-06,22.0,0.5
2021-11-07,21.2,1.0
2021-11-08,20.7,3.6
2021-11-09,20.4,0.0
2021-11-10,19.6,1.9
2021-11-11,18.0,20.4
2021-11-12,19.8,5.7
2021-11-13,21.4,18.9
2021-11-14,21.2,11.9
2021-11-15,21.7,17.8
2021-11-16,21.6,25.4
2021-11-17,21.6,13.3
2021-11-18,20.0,69.6
2021-11-19,20.5,31.4
2021-11-20,21.2,7.5
2021-11-21,21.9,17.9
2021-11-22,21.4,8.8
2021-11-23,22.3,1.0
2021-11-24,21.7,0.4
2021-11-25,21.8,0.0
2021-11-26,21.4,0.0
2021-11-27,19.9,5.1
2021-11-28,20.9,4.4
2021-11-29,21.1,1.4
2021-11-30,21.3,1.4
2021-12-01,21.4,1.0
2021-12-02,21.6,3.9
2021-12-03,21.6,1.8
2021-12-04,21.3,4.2
2021-12-05,21.6,1.2
2021-12-06,21.7,0.7
2021-12-07,21.6,0.1
2021-12-08,21.3,0.0
2021-12-09,21.9,0.5
2021-12-10,21.2,0.0
2021-12-11,21.1,2.3
2021-12-12,21.0,0.4
2021-12-13,20.7,1.2
2021-12-14,20.8,0.8
2021-12-15,20.5,0.0
2021-12-16,20.7,0.0
2021-12-17,20.5,0.0
2021-12-18,19.7,0.0
2021-12-19,18.5,0.0
2021-12-20,18.3,0.0
2021-12-21,18.9,0.0
2021-12-22,19.2,0.0
2021-12-23,19.5,0.0
2021-12-24,19.6,0.0
2021-12-25,19.8,0.0
2021-12-26,20.4,0.0
2021-12-27,19.8,0.0
2021-12-28,20.1,0.0
2021-12-29,20.7,0.0
2021-12-30,20.1,0.6
2021-12-31,20.8,2.4
2022-01-01,20.8,2.3
2022-01-02,20.7,0.0
2022-01-03,20.5,0.0
2022-01-04,20.4,0.0
2022-01-05,20.2,0.0
2022-01-06,20.9,0.0
2022-01-07,21.3,0.1
2022-01-08,21.6,0.0
2022-01-09,21.4,0.0
2022-01-10,21.5,0.2
2022-01-11,21.6,0.1
2022-01-12,21.8,0.2
2022-01-13,21.5,0.0
2022-01-14,21.6,0.0
2022-01-15,21.7,0.0
2022-01-16,21.6,0.5
2022-01-17,21.1,0.2
2022-01-18,21.2,0.0
2022-01-19,20.8,0.0
2022-01-20,20.6,0.0
2022-01-21,22.0,0.0
2022-01-22,21.5,0.0
2022-01-23,21.3,0.0
2022-01-24,20.8,0.0
2022-01-25,20.8,0.0
2022-01-26,21.8,0.0
2022-01-27,21.1,2.3
2022-01-28,21.1,0.0
2022-01-29,21.2,0.0
2022-01-30,22.1,0.2
2022-01-31,23.4,0.0
2022-02-01,23.1,0.0
2022-02-02,22.7,0.0
2022-02-03,22.4,0.0
2022-02-04,22.3,0.0
2022-02-05,22.4,0.0
2022-02-06,22.5,0.0
2022-02-07,23.0,0.0
2022-02-08,22.2,0.0
2022-02-09,21.8,0.0
2022-02-10,21.8,0.0
2022-02-11,22.2,0.0
2022-02-12,22.2,0.0
2022-02-13,21.9,0.0
2022-02-14,21.9,0.0
2022-02-15,22.7,0.0
2022-02-16,22.7,0.0
2022-02-17,22.7,0.0
2022-02-18,22.4,0.0
2022-02-19,22.4,0.0
2022-02-20,22.9,0.0
2022-02-21,23.9,0.0
2022-02-22,24.5,0.0
2022-02-23,23.1,0.0
2022-02-24,22.2,0.0
2022-02-25,22.6,0.0
2022-02-26,22.1,0.0
2022-02-27,22.9,0.0
2022-02-28,22.9,0.0
2022-03-01,23.6,0.0
2022-03-02,23.3,0.0
2022-03-03,23.2,0.0
2022-03-04,23.4,0.0
2022-03-05,23.3,0.0
2022-03-06,23.5,0.0
2022-03-07,21.7,3.4
2022-03-08,23.6,0.1
2022-03-09,24.5,0.0
2022-03-10,25.1,0.0
2022-03-11,25.1,0.0
2022-03-12,25.1,0.0
2022-03-13,25.2,0.0
2022-03-14,25.7,0.0
2022-03-15,25.2,0.0
2022-03-16,25.1,0.0
2022-03-17,26.3,0.0
2022-03-18,26.4,0.0
2022-03-19,25.9,0.0
2022-03-20,24.7,0.0
2022-03-21,25.0,0.2
2022-03-22,24.8,0.0
2022-03-23,26.5,0.0
2022-03-24,26.2,0.4
2022-03-25,26.0,0.0
2022-03-26,26.4,0.0
2022-03-27,26.9,0.0
2022-03-28,27.1,0.0
2022-03-29,27.2,0.1
2022-03-30,27.6,0.2
2022-03-31,27.2,0.0
2022-04-01,27.4,0.0
2022-04-02,26.6,0.0
2022-04-03,26.4,0.0
2022-04-04,26.3,0.0
2022-04-05,26.0,0.0
2022-04-06,26.2,0.0
2022-04-07,27.0,0.0
2022-04-08,26.4,0.1
2022-04-09,26.9,0.0
2022-04-10,26.9,0.0
2022-04-11,27.0,0.0
2022-04-12,26.4,0.0
2022-04-13,25.6,2.5
2022-04-14,24.8,12.8
2022-04-15,26.0,5.3
2022-04-16,25.8,4.2
2022-04-17,24.3,10.5
2022-04-18,24.2,0.2
2022-04-19,25.9,0.0
2022-04-20,27.7,0.0
2022-04-21,27.0,0.0
2022-04-22,26.1,0.0
2022-04-23,26.3,0.0
2022-04-24,26.3,0.0
2022-04-25,27.5,0.0
