Date,Temperature,Precipitation
2021-03-23,28.6,0.0
2021-03-24,29.7,0.0
2021-03-25,30.9,0.0
2021-03-26,30.5,0.0
2021-03-27,30.5,0.0
2021-03-28,28.1,0.0
2021-03-29,27.8,0.0
2021-03-30,26.8,0.0
2021-03-31,26.6,0.0
2021-04-01,27.3,0.0
2021-04-02,27.0,0.1
2021-04-03,27.1,0.0
2021-04-04,27.3,0.0
2021-04-05,27.4,0.0
2021-04-06,28.5,0.0
2021-04-07,28.1,0.0
2021-04-08,27.9,0.0
2021-04-09,28.1,0.0
2021-04-10,28.0,0.0
2021-04-11,28.9,0.0
2021-04-12,29.1,0.0
2021-04-13,29.9,0.0
2021-04-14,30.0,0.0
2021-04-15,29.0,0.0
2021-04-16,28.1,0.0
2021-04-17,28.4,0.0
2021-04-18,29.5,0.0
2021-04-19,28.7,0.0
2021-04-20,28.5,0.0
2021-04-21,28.3,0.0
2021-04-22,28.3,0.0
2021-04-23,28.2,0.0
2021-04-24,27.7,0.0
2021-04-25,29.0,0.0
2021-04-26,29.9,0.0
2021-04-27,29.7,0.0
2021-04-28,29.7,0.0
2021-04-29,29.6,0.0
2021-04-30,29.2,0.0
2021-05-01,30.0,0.0
2021-05-02,30.2,0.0
2021-05-03,30.2,0.0
2021-05-04,30.0,0.0
2021-05-05,30.0,0.0
2021-05-06,29.6,0.0
2021-05-07,29.8,0.0
2021-05-08,29.8,0.0
2021-05-09,29.9,0.0
2021-05-10,29.7,0.0
2021-05-11,29.5,0.0
2021-05-12,29.5,0.0
2021-05-13,29.3,0.0
2021-05-14,29.3,0.0
2021-05-15,31.3,0.0
2021-05-16,31.0,7.0
2021-05-17,26.8,199.9
2021-05-18,27.4,22.6
2021-05-19,27.5,15.2
2021-05-20,28.3,1.0
2021-05-21,28.4,0.3
2021-05-22,28.7,1.2
2021-05-23,28.8,1.6
2021-05-24,28.8,1.8
2021-05-25,29.0,1.7
2021-05-26,29.2,0.0
2021-05-27,29.6,4.8
2021-05-28,29.2,3.6
2021-05-29,28.8,2.8
2021-05-30,28.9,3.3
2021-05-31,28.5,3.5
2021-06-01,28.2,7.4
2021-06-02,28.1,11.1
2021-06-03,28.8,1.3
2021-06-04,28.6,5.2
2021-06-05,27.3,7.7
2021-06-06,27.4,9.7
2021-06-07,27.4,10.5
2021-06-08,27.0,25.1
2021-06-09,26.8,24.0
2021-06-10,27.0,24.0
2021-06-11,27.1,19.6
2021-06-12,27.0,15.7
2021-06-13,27.4,9.6
2021-06-14,27.3,5.2
2021-06-15,26.8,9.2
2021-06-16,26.4,13.7
2021-06-17,26.2,18.5
2021-06-18,26.1,15.9
2021-06-19,25.8,18.5
2021-06-20,26.7,10.3
2021-06-21,27.3,5.6
2021-06-22,27.4,5.9
2021-06-23,27.0,5.6
2021-06-24,26.4,8.7
2021-06-25,26.0,36.7
2021-06-26,27.6,3.5
2021-06-27,27.2,9.3
2021-06-28,26.1,19.2
2021-06-29,27.4,3.0
2021-06-30,27.5,4.8
2021-07-01,28.3,2.9
2021-07-02,28.1,1.8
2021-07-03,27.9,1.8
2021-07-04,27.7,2.3
2021-07-05,27.7,1.2
2021-07-06,27.8,1.0
2021-07-07,28.2,2.2
2021-07-08,27.6,8.9
2021-07-09,27.4,4.1
2021-07-10,26.3,85.5
2021-07-11,27.1,13.7
2021-07-12,26.9,41.0
2021-07-13,26.6,34.6
2021-07-14,26.2,34.9
2021-07-15,26.8,22.4
2021-07-16,26.5,31.8
2021-07-17,26.8,40.6
