Date,Stock,Region,Price,Return,Temperature,Precipitation
2021-03-24,Indigo,Central,1731.32421875,-2.210376574299666,27.6,0.0
2021-03-25,Indigo,Central,1660.7435302734375,-4.076688104526205,28.8,0.0
2021-03-26,Indigo,Central,1610.27880859375,-3.0386824190354433,29.0,0.0
2021-03-30,Indigo,Central,1582.725341796875,-1.7110991369834516,31.6,0.0
2021-03-31,Indigo,Central,1629.19677734375,2.936165506398969,32.1,0.0
2021-04-01,Indigo,Central,1613.8726806640625,-0.9405921306002041,32.2,0.0
2021-04-05,Indigo,Central,1550.0804443359375,-3.952742808799281,30.9,0.0
2021-04-06,Indigo,Central,1574.9384765625,1.6036607853092244,31.1,0.0
2021-04-07,Indigo,Central,1596.9512939453125,1.397693796322641,32.7,0.0
2021-04-08,Indigo,Central,1637.98193359375,2.56931064860908,33.2,0.0
2021-04-09,Indigo,Central,1644.1715087890625,0.3778781113740637,32.1,0.0
2021-04-12,Indigo,Central,1591.1112060546875,-3.2271756596399137,30.9,0.0
2021-04-13,Indigo,Central,1603.041015625,0.7497784897068094,31.3,0.0
2021-04-15,Indigo,Central,1607.134033203125,0.2553283127649131,29.0,0.9
2021-04-16,Indigo,Central,1580.2296142578125,-1.67406192573063,30.3,0.0
2021-04-19,Indigo,Central,1525.3223876953125,-3.474635968538553,32.8,0.0
2021-04-20,Indigo,Central,1551.6778564453125,1.727862185896445,32.9,0.0
2021-04-22,Indigo,Central,1538.6998291015625,-0.8363867080942278,31.7,0.0
2021-04-23,Indigo,Central,1539.248779296875,0.0356762368416641,31.6,0.0
2021-04-26,Indigo,Central,1570.396240234375,2.023549497419652,32.9,0.0
2021-04-27,Indigo,Central,1637.732421875,4.287846590270461,32.7,0.0
2021-04-28,Indigo,Central,1644.7705078125,0.4297457779728342,33.4,0.0
2021-04-29,Indigo,Central,1653.0565185546875,0.5037791413956993,34.0,0.0
2021-04-30,Indigo,Central,1640.6275634765625,-0.7518772007258367,34.0,0.0
2021-05-03,Indigo,Central,1663.43896484375,1.3904070536794544,30.7,0.0
2021-05-04,Indigo,Central,1619.213623046875,-2.658669342943354,31.6,0.0
2021-05-05,Indigo,Central,1646.5673828125,1.689323717160529,33.5,0.0
2021-05-06,Indigo,Central,1660.14453125,0.8245729011289393,33.2,0.0
2021-05-07,Indigo,Central,1637.8321533203125,-1.3440021341327157,32.3,1.3
2021-05-10,Indigo,Central,1674.86962890625,2.26137186956874,31.5,0.2
2021-05-11,Indigo,Central,1672.124267578125,-0.16391492691391063,32.5,0.1
2021-05-12,Indigo,Central,1678.064208984375,0.3552332515844192,33.6,0.0
2021-05-14,Indigo,Central,1691.890869140625,0.8239649044549102,32.7,0.0
2021-05-17,Indigo,Central,1700.875732421875,0.5310545405220912,32.5,0.0
2021-05-18,Indigo,Central,1711.80712890625,0.6426922482343667,32.5,2.3
2021-05-19,Indigo,Central,1686.74951171875,-1.4638107742611428,31.9,4.4
2021-05-20,Indigo,Central,1666.7833251953125,-1.1837078585007266,30.9,0.1
2021-05-21,Indigo,Central,1689.6446533203125,1.3715836833393613,31.5,0.0
2021-05-24,Indigo,Central,1680.260498046875,-0.5553922391312693,33.3,0.0
2021-05-25,Indigo,Central,1716.1998291015625,2.138914239575551,33.5,0.0
2021-05-26,Indigo,Central,1721.2413330078125,0.2937597254562885,34.1,0.0
2021-05-27,Indigo,Central,1737.7633056640625,0.9598870500848511,34.3,0.0
2021-05-28,Indigo,Central,1773.1036376953125,2.0336677564810834,34.5,0.0
2021-05-31,Indigo,Central,1755.9326171875,-0.9684160667636665,34.0,0.0
2021-06-01,Indigo,Central,1742.7548828125,-0.7504692518387701,33.1,0.0
2021-06-02,Indigo,Central,1761.6729736328125,1.085527919438789,31.4,0.0
2021-06-03,Indigo,Central,1761.623046875,-0.0028340536841864328,30.3,2.1
2021-06-04,Indigo,Central,1751.4901123046875,-0.5752044734137485,28.7,8.4
2021-06-07,Indigo,Central,1752.4884033203125,0.05699666864298347,30.9,0.9
2021-06-08,Indigo,Central,1781.289794921875,1.643456900884166,30.1,4.5
2021-06-09,Indigo,Central,1790.0250244140625,0.49038789292399354,28.8,8.9
2021-06-10,Indigo,Central,1784.4344482421875,-0.31231832491867006,27.4,14.1
2021-06-11,Indigo,Central,1788.62744140625,0.23497602661688433,26.9,24.3
2021-06-14,Indigo,Central,1773.4031982421875,-0.851169047931688,28.4,3.8
2021-06-15,Indigo,Central,1786.6806640625,0.7486997786782634,27.8,4.1
2021-06-16,Indigo,Central,1730.775146484375,-3.129015649109268,28.2,0.2
2021-06-17,Indigo,Central,1704.619384765625,-1.5112166229032553,27.6,1.9
2021-06-18,Indigo,Central,1699.827392578125,-0.28111801557149096,26.8,4.5
2021-06-21,Indigo,Central,1716.0999755859375,0.9573079642593463,28.5,0.3
2021-06-22,Indigo,Central,1714.552490234375,-0.09017454539815839,28.7,14.2
2021-06-23,Indigo,Central,1705.967041015625,-0.500739946292128,26.3,6.6
2021-06-24,Indigo,Central,1687.2987060546875,-1.0942963440737752,27.0,3.9
2021-06-25,Indigo,Central,1725.284423828125,2.2512740415866928,26.7,5.3
2021-06-28,Indigo,Central,1726.6820068359375,0.08100594826627727,27.6,10.4
2021-06-29,Indigo,Central,1726.3326416015625,-0.020233328024032993,28.6,1.4
2021-06-30,Indigo,Central,1714.0533447265625,-0.7112937900315752,29.1,12.3
2021-07-01,Indigo,Central,1739.66015625,1.4939331732130245,29.0,4.0
2021-07-02,Indigo,Central,1717.04833984375,-1.2997835424932602,27.4,0.7
2021-07-05,Indigo,Central,1752.987548828125,2.093080791636037,29.9,0.0
2021-07-06,Indigo,Central,1765.666259765625,0.7232630343538826,29.5,0.0
2021-07-07,Indigo,Central,1806.447265625,2.309666712710934,29.9,3.9
2021-07-08,Indigo,Central,1818.876220703125,0.6880330975963966,25.8,50.4
2021-07-09,Indigo,Central,1806.2476806640625,-0.6943045323986152,26.6,9.4
2021-07-12,Indigo,Central,1809.4422607421875,0.17686279198159127,27.7,6.0
2021-07-13,Indigo,Central,1821.3720703125,0.6593086626272893,27.6,14.0
2021-07-14,Indigo,Central,1819.475341796875,-0.10413734494674198,27.2,9.6
2021-07-15,Indigo,Central,1821.57177734375,0.11522198178319787,27.4,1.3
2021-07-16,Indigo,Central,1805.998046875,-0.854961119976283,27.9,0.8
2021-07-19,Indigo,Central,1762.9208984375,-2.385226745512725,28.1,0.6
