Date,Stock,Region,Price,Return,Temperature,Precipitation
2021-03-24,UPL,East,578.3767700195312,-3.8683354427374916,29.7,0.0
2021-03-25,UPL,East,565.8374633789062,-2.1680169900671453,29.9,0.0
2021-03-26,UPL,East,556.1005859375,-1.7207905222928033,29.2,0.0
2021-03-30,UPL,East,596.5208740234375,7.268521038832421,31.4,0.0
2021-03-31,UPL,East,609.72509765625,2.2135392419299738,32.1,0.0
2021-04-01,UPL,East,620.8870239257812,1.830648978111138,30.4,0.0
2021-04-05,UPL,East,613.9049682617188,-1.1245291647288602,29.0,0.0
2021-04-06,UPL,East,628.249267578125,2.3365667420842673,29.0,0.0
2021-04-07,UPL,East,621.6945190429688,-1.0433356429406682,28.9,0.0
2021-04-08,UPL,East,618.9871215820312,-0.4354867829790776,29.5,2.1
2021-04-09,UPL,East,603.123046875,-2.5629086864497608,28.6,2.8
2021-04-12,UPL,East,560.0427856445312,-7.142864371322444,29.9,1.5
2021-04-13,UPL,East,574.339599609375,2.55280745173605,30.5,0.7
2021-04-15,UPL,East,576.951904296875,0.4548362483235868,30.4,0.9
2021-04-16,UPL,East,581.1317138671875,0.7244641258973505,29.7,0.0
2021-04-19,UPL,East,567.5475463867188,-2.337536767709991,30.6,0.0
2021-04-20,UPL,East,562.1326904296875,-0.9540797051286409,30.4,1.7
2021-04-22,UPL,East,561.9901733398438,-0.02535292685696966,29.0,11.6
2021-04-23,UPL,East,556.1005859375,-1.0479876129047994,29.5,0.0
2021-04-26,UPL,East,561.0877685546875,0.8968130484487524,31.5,0.0
2021-04-27,UPL,East,567.5475463867188,1.151295428996968,31.5,0.1
2021-04-28,UPL,East,577.616943359375,1.774194433006171,31.1,0.4
2021-04-29,UPL,East,584.97900390625,1.2745575820642951,30.7,0.0
2021-04-30,UPL,East,576.5245361328125,-1.4452600378786262,30.4,1.0
2021-05-03,UPL,East,586.8788452148438,1.7959875830238614,29.4,0.0
2021-05-04,UPL,East,580.65673828125,-1.0602029676697544,26.6,4.2
2021-05-05,UPL,East,608.6328125,4.818005608883391,26.7,9.9
2021-05-06,UPL,East,601.318115234375,-1.2018243373339343,28.6,0.6
2021-05-07,UPL,East,597.8983764648438,-0.5687070924511151,29.2,2.1
2021-05-10,UPL,East,640.8359985351562,7.181424763884969,28.4,12.3
2021-05-11,UPL,East,650.0980224609375,1.445303314257118,27.4,23.2
2021-05-12,UPL,East,657.03271484375,1.0667148865583842,28.1,0.0
2021-05-14,UPL,East,706.0975341796875,7.4676371857078205,29.0,4.6
2021-05-17,UPL,East,732.1737060546875,3.6929985749481586,31.9,0.0
2021-05-18,UPL,East,730.8912353515625,-0.17515934982637038,32.1,0.1
2021-05-19,UPL,East,743.0032348632812,1.657154844098363,31.7,0.9
2021-05-20,UPL,East,729.0863647460938,-1.8730564638454572,31.8,0.0
2021-05-21,UPL,East,740.8182983398438,1.609128103477242,31.9,0.0
2021-05-24,UPL,East,749.8427124023438,1.2181683528502907,29.7,8.3
2021-05-25,UPL,East,756.7774658203125,0.9248277409739991,28.2,9.9
2021-05-26,UPL,East,771.9291381835938,2.0021304871779666,27.1,11.9
2021-05-27,UPL,East,778.7212524414062,0.879888311224386,28.4,19.8
2021-05-28,UPL,East,771.0741577148438,-0.9820066811567996,29.9,1.3
2021-05-31,UPL,East,774.303955078125,0.418869875350647,29.7,24.4
2021-06-01,UPL,East,774.9689331054688,0.08588074786168853,30.9,3.1
2021-06-02,UPL,East,795.6777954101562,2.672218384510283,29.8,6.5
2021-06-03,UPL,East,798.1951904296875,0.31638372140743165,30.0,7.0
2021-06-04,UPL,East,794.3953857421875,-0.47604955943851834,30.9,0.4
2021-06-07,UPL,East,807.9321899414062,1.7040386238612815,31.3,5.3
2021-06-08,UPL,East,810.8294677734375,0.3586040843652105,30.8,1.8
2021-06-09,UPL,East,803.22998046875,-0.9372485345847004,29.3,13.3
2021-06-10,UPL,East,796.7228393554688,-0.8101217922025006,28.3,9.2
2021-06-11,UPL,East,793.3505249023438,-0.4232732245824766,28.1,8.5
2021-06-14,UPL,East,792.8279418945312,-0.06587038029335357,28.0,13.3
2021-06-15,UPL,East,799.6676025390625,0.8626916740834378,27.5,25.5
2021-06-16,UPL,East,796.2478637695312,-0.4276450313446589,26.6,25.3
2021-06-17,UPL,East,793.2554321289062,-0.3758165989241724,26.3,14.5
2021-06-18,UPL,East,767.559326171875,-3.2393230372301463,25.8,25.7
2021-06-21,UPL,East,733.5510864257812,-4.430698525377375,27.3,14.2
2021-06-22,UPL,East,762.3346557617188,3.9238670446505752,27.9,15.3
2021-06-23,UPL,East,763.759521484375,0.18690816584121528,27.3,7.5
2021-06-24,UPL,East,772.736572265625,1.1753766111881614,28.4,7.3
2021-06-25,UPL,East,764.85205078125,-1.0203375597013564,28.8,5.6
2021-06-28,UPL,East,768.604248046875,0.49057817937370185,29.1,0.6
2021-06-29,UPL,East,765.0894775390625,-0.4572926205838712,29.7,4.9
2021-06-30,UPL,East,753.1675415039062,-1.558240752899065,29.9,11.6
2021-07-01,UPL,East,751.8851928710938,-0.17026074042595374,29.8,10.5
2021-07-02,UPL,East,759.3422241210938,0.9917779098062907,29.2,15.9
2021-07-05,UPL,East,767.1793212890625,1.0320902643126129,28.4,8.7
2021-07-06,UPL,East,763.0945434570312,-0.532441075857959,28.9,15.9
2021-07-07,UPL,East,776.013916015625,1.6930238421133836,29.0,27.3
2021-07-08,UPL,East,773.35400390625,-0.342766032216546,27.4,16.5
2021-07-09,UPL,East,773.7814331054688,0.05526953983037153,28.3,10.9
2021-07-12,UPL,East,780.336181640625,0.8471059468110553,28.6,6.0
2021-07-13,UPL,East,790.3106689453125,1.2782295040730363,28.4,4.4
2021-07-14,UPL,East,787.8046875,-0.3170881456853958,28.5,4.0
2021-07-15,UPL,East,803.66162109375,2.012800107101409,29.3,0.9
2021-07-16,UPL,East,804.9109497070312,0.15545455705361366,29.4,2.5
2021-07-19,UPL,East,800.7785034179688,-0.5134041586297933,29.7,6.5
2021-07-20,UPL,East,782.51904296875,-2.2802136135375517,28.3,11.3
2021-07-22,UPL,East,795.733154296875,1.6886632276695623,28.7,7.3
2021-07-23,UPL,East,787.7566528320312,-1.0024090892495119,27.7,16.4
2021-07-26,UPL,East,787.996826171875,0.030488265504358125,29.2,17.1
2021-07-27,UPL,East,781.0774536132812,-0.8780965009984043,28.2,25.3
2021-07-28,UPL,East,782.9034423828125,0.23377819460594917,27.2,52.7
2021-07-29,UPL,East,787.7566528320312,0.6198989794255816,26.9,70.2
2021-07-30,UPL,East,777.0410766601562,-1.3602647636617116,27.3,34.5
2021-08-02,UPL,East,760.2230224609375,-2.1643713188890024,28.7,2.5
2021-08-03,UPL,East,759.7424926757812,-0.06320905457463111,27.4,36.2
2021-08-04,UPL,East,754.4088745117188,-0.7020297292149258,27.4,14.1
2021-08-05,UPL,East,746.9608154296875,-0.9872708730861546,27.9,16.5
2021-08-06,UPL,East,747.0089111328125,0.006438852230461478,28.5,12.0
2021-08-09,UPL,East,747.7777099609375,0.10291695542949952,29.1,8.7
2021-08-10,UPL,East,741.050537109375,-0.8996220082454598,29.5,10.4
2021-08-11,UPL,East,743.645263671875,0.35014164791260516,30.0,8.5
2021-08-12,UPL,East,746.816650390625,0.4264649926082775,28.7,11.6
2021-08-13,UPL,East,748.7387084960938,0.2573667987267658,28.5,15.6
2021-08-16,UPL,East,742.6842651367188,-0.8086189869274785,28.0,12.9
2021-08-17,UPL,East,731.1038818359375,-1.559260623173353,26.9,19.3
2021-08-18,UPL,East,732.4973754882812,0.19060132040940037,27.0,8.8
2021-08-20,UPL,East,699.870361328125,-4.454215844583354,26.9,6.5
2021-08-23,UPL,East,690.9327392578125,-1.2770396582235333,29.2,8.7
2021-08-24,UPL,East,702.561279296875,1.6830205573343804,29.6,3.9
2021-08-25,UPL,East,697.8041381835938,-0.677114047338645,29.3,15.8
2021-08-26,UPL,East,691.6055297851562,-0.8883020405371478,28.4,30.6
2021-08-27,UPL,East,700.8314208984375,1.3339816869519794,27.6,22.7
2021-08-30,UPL,East,711.5949096679688,1.5358170950344752,27.2,9.5
2021-08-31,UPL,East,712.3638305664062,0.10805598634711089,28.0,6.0
2021-09-01,UPL,East,719.4754028320312,0.9983061969851104,28.7,2.2
2021-09-02,UPL,East,723.9921875,0.6277886151756729,28.5,3.2
2021-09-03,UPL,East,723.4636840820312,-0.07299849737242292,28.6,2.8
2021-09-06,UPL,East,726.2987060546875,0.39186790367418123,28.2,7.8
2021-09-07,UPL,East,722.7428588867188,-0.4895846761567846,26.9,19.6
2021-09-08,UPL,East,732.30517578125,1.3230593394254475,27.0,11.7
2021-09-09,UPL,East,728.3649291992188,-0.538060731009804,27.7,3.1
2021-09-13,UPL,East,726.5390014648438,-0.25068858496282154,27.0,23.2
2021-09-14,UPL,East,723.1753540039062,-0.4629686023951529,26.5,29.5
2021-09-15,UPL,East,732.4012451171875,1.2757474466188023,26.8,11.8
2021-09-16,UPL,East,724.6168823242188,-1.062854937080726,27.3,7.5
2021-09-17,UPL,East,713.4208984375,-1.5450901241504944,27.6,8.4
2021-09-20,UPL,East,678.10302734375,-4.950495727150905,25.5,58.8
2021-09-21,UPL,East,693.7197265625,2.3029980090080615,25.4,35.5
2021-09-22,UPL,East,696.6510009765625,0.4225444804038414,26.1,19.3
2021-09-23,UPL,East,698.52490234375,0.26898710610629983,27.0,8.9
2021-09-24,UPL,East,690.6444702148438,-1.1281533560886903,28.5,0.0
2021-09-27,UPL,East,697.5639038085938,1.0018806914645184,27.3,14.2
2021-09-28,UPL,East,688.8665161132812,-1.2468230720979245,26.3,22.2
2021-09-29,UPL,East,689.202880859375,0.048828726353478125,25.9,49.4
2021-09-30,UPL,East,680.1212158203125,-1.317705611987352,27.2,5.9
2021-10-01,UPL,East,684.8783569335938,0.6994548916612553,27.8,0.8
2021-10-04,UPL,East,675.556396484375,-1.3611118463366156,28.0,4.6
2021-10-05,UPL,East,686.8003540039062,1.6643995346717677,27.6,17.2
2021-10-06,UPL,East,698.9573364257812,1.7700897139907301,28.0,6.4
2021-10-07,UPL,East,699.1495971679688,0.02750679221290575,28.4,0.4
2021-10-08,UPL,East,709.240478515625,1.4433078969838808,28.6,0.7
2021-10-11,UPL,East,713.5170288085938,0.602976059956295,28.9,0.9
2021-10-12,UPL,East,715.294921875,0.2491731794229013,29.3,0.0
2021-10-13,UPL,East,718.3221435546875,0.4232130813612178,27.9,6.0
2021-10-14,UPL,East,718.70654296875,0.05351351305422636,27.6,7.8
2021-10-18,UPL,East,721.8298950195312,0.43457960433748166,25.0,55.6
2021-10-19,UPL,East,705.1080322265625,-2.3165932733384853,25.0,36.5
2021-10-20,UPL,East,688.001708984375,-2.426057066485232,25.9,13.7
2021-10-21,UPL,East,689.4912109375,0.21649683913196327,26.7,0.0
2021-10-22,UPL,East,676.9017333984375,-1.825908342173732,26.5,0.2
2021-10-25,UPL,East,668.2044677734375,-1.2848638429886594,25.5,0.1
2021-10-26,UPL,East,685.4549560546875,2.5816182191554793,26.0,0.1
2021-10-27,UPL,East,712.60400390625,3.96073405141395,25.5,2.0
2021-10-28,UPL,East,701.4561157226562,-1.5643875311512234,25.1,5.3
2021-10-29,UPL,East,711.3546752929688,1.4111445247169563,26.2,0.0
2021-11-01,UPL,East,691.9899291992188,-2.7222350209162083,25.1,0.0
2021-11-02,UPL,East,692.2301635742188,0.03471645537933554,24.3,0.0
2021-11-03,UPL,East,708.3274536132812,2.3254245316249644,23.9,0.0
2021-11-04,UPL,East,708.9521484375,0.08819294254827081,23.6,0.0
2021-11-08,UPL,East,713.7092895507812,0.6710101836584936,22.6,0.0
2021-11-09,UPL,East,717.2649536132812,0.49819500944676687,23.0,0.0
2021-11-10,UPL,East,741.2427368164062,3.3429464359487904,23.4,0.0
2021-11-11,UPL,East,734.89990234375,-0.8557027485892599,24.4,0.0
